Temperature (K),U-B,B-V,V-R,R-I
3000,1.8284735756845443,1.6220883231081045,0.9960009750198653,0.9959062083132943
3200,1.6687228416655948,1.4848981296241348,0.907307318558157,0.904210414919727
3400,1.5276967437602007,1.3628813811509968,0.8289534883663272,0.8235616003999082
3600,1.4022883944878224,1.2536637225086675,0.7592667478848325,0.7521427232312026
3800,1.2900455536385733,1.155349375955522,0.6969197153475122,0.6885146447790227
4000,1.189006758764629,1.0664049772444244,0.6408447761743625,0.6315217235258856
4200,1.0975843023165526,0.9855758898572375,0.5901728086217197,0.580224584668088
4400,1.0144791350288642,0.911824816487234,0.5441885482365549,0.5338513394172324
4600,0.93861797570458,0.8442860436343844,0.5022975568666732,0.49176158157519456
4800,0.8691061522136998,0.7822308509353215,0.46400142394051613,0.4534193958711028
5000,0.8051917719940969,0.7250410248886054,0.42887889866337536,0.4183728302902381
5200,0.7462381745255051,0.6721883413392664,0.3965713562358393,0.3862380779808383
5400,0.6917025203873433,0.623218501426436,0.3667714731484133,0.3566871407212102
5600,0.6411189835171931,0.5777384298221757,0.33921430800794816,0.32943810113866046
5800,0.5940854354372633,0.5354061390092664,0.3136702064984118,0.3042473743661487
6000,0.5502528058935328,0.49592257154627983,0.28993910471907824,0.2809034792232481
6200,0.5093165143776499,0.4590249812572673,0.26784591556409154,0.2592219885185081
6400,0.4710095181281053,0.4244815222137355,0.24723676206959877,0.239041403506409
6600,0.43509663225470385,0.3920867934375951,0.22797587918154205,0.22021975937987204
6800,0.4013698586494574,0.3616581457595116,0.20994304758807747,0.20263181398715013
7000,0.369644520602594,0.3330326009699893,0.1930314545138716,0.18616670552916403
7200,0.33975604527796954,0.30606426633181427,0.1771458997465747,0.1707259901289362
7400,0.31155727045865067,0.2806221525407129,0.1622012828061301,0.1562219891768688
7600,0.28491617812623926,0.2565883223747847,0.1481213205986196,0.14257639087317475
7800,0.25971397755513514,0.23385631204478163,0.13483745520905577,0.1297190615735423
8000,0.2358434761878332,0.2123297787292282,0.12228791947010498,0.11758703123384318
8200,0.2132076887115244,0.19192133674749312,0.11041693417064913,0.10612362405415776
8400,0.19171864429444496,0.1725515518816786,0.0991740156616775,0.09527771079008518
8600,0.17129635947044008,0.15414806894646282,0.08851337648989588,0.08500306346295983
8800,0.1518679501384862,0.13664485215742816,0.07839340477541934,0.0752577966092216
9000,0.13336686091595362,0.11998152141482998,0.06877621052456007,0.0660038819509462
9200,0.11573219391327338,0.10410277049323913,0.05962722906538004,0.05720672558738349
9400,0.09890812208511834,0.08895785545522239,0.050914873413943795,0.04883479861107126
9600,0.08284337481464954,0.07450014350283246,0.04261022870131387,0.040859313526405316
9800,0.06749078542346842,0.06068671403214848,0.034686782875757216,0.03325394005926133
10000,0.05280689196455712,0.047478004932185125,0.027120188788477995,0.025994554945063225
10200,0.03875158402238063,0.03483749822399643,0.019888053511399356,0.01905902111003338
10400,0.02528778937136389,0.022731440011153875,0.012969751351239567,0.01242699234849412
10600,0.012381195277075568,0.011128590442610456,0.006346257538341754,0.006079740173575182
10800,0.0,0.0,0.0,0.0
11000,-0.011885309291151475,-0.010681191064929062,-0.006085273009019121,-0.00582816577770804
11200,-0.02330215544770553,-0.020939932883610166,-0.011924611339450955,-0.01141948990694791
11400,-0.03427604990656746,-0.03079942808843089,-0.017531969104812528,-0.016787609405266288
11600,-0.044830753304576754,-0.040281277956707356,-0.022920300002840482,-0.021945163256613
11800,-0.05498842022814093,-0.049405614376469426,-0.028101643052483832,-0.026903880028601113
12000,-0.0647697299085796,-0.05819121920198267,-0.03308719983664721,-0.031674656585812005
